,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2016,1,Real Madrid,38,29,6,3,106,41,93,90.86640999999999,-15.133590000000012,84.92033999999998,36.862559000000005,-4.1374409999999955,33.889828,51.030512000000016,9.74243924598858,13.407533416463902,333,173,86.17009999999999,-6.829900000000009
La_liga,2016,2,Barcelona,38,28,6,4,116,37,90,93.551594,-22.448406000000006,86.86223400000003,31.315663300000004,-5.684336699999996,31.315663300000004,55.546570700000004,6.702330217409409,15.710111355512122,552,144,87.9535,-2.0464999999999947
La_liga,2016,3,Atletico Madrid,38,23,9,6,70,27,78,60.6589,-9.341099999999997,54.53281,31.336168499999996,4.336168499999996,28.363577499999995,26.169232500000003,9.954443662371872,8.828842703081074,265,168,69.10210000000002,-8.897899999999979
La_liga,2016,4,Sevilla,38,21,9,8,69,49,72,59.094825,-9.905175,55.270584,38.704635,-10.295364999999997,34.870096000000004,20.400487999999996,6.97983493590817,10.788850101732494,338,201,66.17879999999998,-5.821200000000019
La_liga,2016,5,Villarreal,38,19,10,9,56,33,67,52.228736999999995,-3.7712630000000047,46.282513,43.1643821,10.164382099999997,38.70473609999999,7.5777769,11.527583287821747,10.59270360048253,268,260,59.57190000000001,-7.4280999999999935
La_liga,2016,6,Real Sociedad,38,19,7,12,59,53,64,45.58364529999999,-13.416354700000007,39.6379283,43.7127224,-9.287277600000003,38.3785894,1.2593389,7.096117847057872,11.220293953585088,229,168,54.9358,-9.0642
La_liga,2016,7,Athletic Club,38,19,6,13,53,43,63,51.08126600000001,-1.9187339999999935,45.135026,40.455375999999994,-2.544624000000006,37.96999299999999,7.165033,7.993490614988312,9.942400195587059,233,167,60.5416,-2.4583999999999975
La_liga,2016,8,Espanyol,38,15,11,12,49,50,56,32.5531964,-16.446803600000003,29.5800924,38.347978999999995,-11.652021000000005,36.86142099999999,-7.281328599999999,11.621521184367461,8.024812780117776,117,254,46.9231,-9.076900000000002
La_liga,2016,9,Alaves,38,14,13,11,41,43,55,42.601105499999996,1.6011054999999956,39.62826649999999,43.968918,0.9689180000000022,39.509381,0.11888550000000009,12.401874814323943,7.920983068531751,110,248,52.79099999999999,-2.2090000000000103
La_liga,2016,10,Eibar,38,15,9,14,56,51,54,42.980348000000006,-13.019651999999994,36.892681,45.170127300000004,-5.829872699999996,40.710463300000015,-3.8177822999999997,7.8213999262240765,9.458058160776154,157,218,50.0492,-3.950800000000001
La_liga,2016,11,Malaga,38,12,10,16,49,55,46,40.369333999999995,-8.630666000000005,36.534783,47.34811859999999,-7.651881400000008,42.145161599999994,-5.610378599999999,8.766319809540018,8.537794224195338,167,198,45.74660000000001,-0.2533999999999921
La_liga,2016,12,Valencia,38,13,7,18,56,65,46,50.339573,-5.6604269999999985,45.880026,50.961089300000005,-14.038910699999995,41.15729830000001,4.722727700000002,9.849351042189191,8.670477773416385,174,230,53.387600000000006,7.387600000000006
La_liga,2016,13,Celta Vigo,38,13,6,19,53,69,45,40.480753,-12.519247,35.2780471,55.97525799999999,-13.02474200000001,48.534578,-13.256530900000001,8.830990180312298,10.243297927267026,206,241,42.630199999999995,-2.369800000000005
La_liga,2016,14,Las Palmas,38,10,9,19,53,74,39,40.796914,-12.203085999999999,36.337239000000004,58.394146,-15.605854,50.218214,-13.880975,10.230977404818498,10.034511758172991,270,211,42.108500000000014,3.1085000000000136
La_liga,2016,15,Real Betis,38,10,9,19,41,64,39,35.71540500000001,-5.284594999999989,34.22884700000001,48.268066,-15.731934000000003,44.452251,-10.223403999999999,9.142622111885323,8.284595438721025,181,217,44.5618,5.561799999999998
La_liga,2016,16,Deportivo La Coruna,38,8,12,18,43,61,36,40.9953521,-2.004647900000002,35.6612241,48.604222,-12.395778,46.374385,-10.713160899999998,10.113410391439748,8.90967485577662,103,232,51.15729999999999,15.157299999999992
